"Movie_ID","Movie","Release_date","Distributor","MPAA_rating","Runtime","Production_budget","Genre1","Genre2","Genre3","imdb.com_rating","Country","Opening_revenues","Opening_screens","Opening_revenues_indexed","Opening_screens_indexed","Opening_revenues_indexed_transformed","Opening_screens_indexed_transformed"
216,"Jobs","8/16/2013","ORF","PG-13",122,12,"Biography","Drama"," ",5.9,"Netherlands",142824,51,0.058861008,0.201581028,-2.771911961,-1.376442065
216,"Jobs","8/16/2013","ORF","PG-13",122,12,"Biography","Drama"," ",5.9,"USA",6713900,2381,0.038553596,0.559840113,-3.216389441,0.240513189
217,"John Carter","3/9/2012","BV","PG-13",132,250,"Action","Adventure","Fantasy",6.6,"Netherlands",551447,90,0.144920578,0.324909747,-1.775008504,-0.731298947
217,"John Carter","3/9/2012","BV","PG-13",132,250,"Action","Adventure","Fantasy",6.6,"USA",30180188,3749,0.145489664,0.851271571,-1.770423549,1.744609181
218,"John Wick","10/24/2014","LG/S","R",96,20,"Action","Thriller"," ",7.2,"Netherlands",295976,65,0.12843895,0.287610619,-1.914832223,-0.907017095
218,"John Wick","10/24/2014","LG/S","R",96,20,"Action","Thriller"," ",7.2,"USA",14415922,2589,0.118262525,0.598751156,-2.008987422,0.400264287
219,"Jonah Hex","6/18/2010","WB","PG-13",81,47,"Action","Drama","Fantasy",4.5,"Netherlands",NA,NA,NA,NA,NA,NA
219,"Jonah Hex","6/18/2010","WB","PG-13",81,47,"Action","Drama","Fantasy",4.5,"USA",5379365,2825,0.041986114,0.632273948,-3.127523338,0.541984526
220,"Journey 2: The Mysterious Island","2/10/2012","WB","PG",94,79,"Action","Adventure","Comedy",5.8,"Netherlands",311025,83,0.081737543,0.299638989,-2.418969836,-0.849017551
220,"Journey 2: The Mysterious Island","2/10/2012","WB","PG",94,79,"Action","Adventure","Comedy",5.8,"USA",27335363,3470,0.131775613,0.787920073,-1.885349613,1.312433435
221,"Judy Moody and the NOT Bummer Summer","6/10/2011","Rela.","PG",91,20,"Comedy","Family"," ",4,"Netherlands",NA,NA,NA,NA,NA,NA
221,"Judy Moody and the NOT Bummer Summer","6/10/2011","Rela.","PG",91,20,"Comedy","Family"," ",4,"USA",6076859,2524,0.035917487,0.576914286,-3.289952613,0.310118911
222,"Julie & Julia","8/7/2009","Sony","PG-13",123,40,"Biography","Drama","Romance",7,"Netherlands",87206,27,0.024434665,0.1125,-3.687014312,-2.0654553
222,"Julie & Julia","8/7/2009","Sony","PG-13",123,40,"Biography","Drama","Romance",7,"USA",20027956,2354,0.140213365,0.544277457,-1.813518965,0.177574981
223,"Jumping the Broom","5/6/2011","TriS","PG-13",113,6.6,"Comedy","Drama"," ",5.6,"Netherlands",NA,NA,NA,NA,NA,NA
223,"Jumping the Broom","5/6/2011","TriS","PG-13",113,6.6,"Comedy","Drama"," ",5.6,"USA",15215487,2035,0.089931666,0.465142857,-2.314469577,-0.13965511
224,"Just Go With It","2/11/2011","Sony","PG-13",110,80,"Comedy","Romance"," ",6.4,"Netherlands",313527,77,0.081652568,0.323529412,-2.420102513,-0.737598943
224,"Just Go With It","2/11/2011","Sony","PG-13",110,80,"Comedy","Romance"," ",6.4,"USA",30514732,3548,0.180358386,0.810971429,-1.513921283,1.456334648
225,"Just Wright","5/14/2010","FoxS","PG",111,NA,"Comedy","Romance","Sport",5.8,"Netherlands",NA,NA,NA,NA,NA,NA
225,"Just Wright","5/14/2010","FoxS","PG",111,NA,"Comedy","Romance","Sport",5.8,"USA",8284989,1831,0.064664601,0.409803044,-2.67169126,-0.364779642
226,"Justin Bieber: Never Say Never","2/11/2011","Par.","G",105,13,"Documentary","Music"," ",1.6,"Netherlands",249189,86,0.064896873,0.361344538,-2.667857384,-0.569533225
226,"Justin Bieber: Never Say Never","2/11/2011","Par.","G",105,13,"Documentary","Music"," ",1.6,"USA",29514054,3105,0.174443844,0.709714286,-1.554454409,0.893996815
227,"Katy Perry: Part of Me","7/5/2012","Par.","PG",95,12,"Documentary","Music"," ",5.9,"Netherlands",NA,NA,NA,NA,NA,NA
227,"Katy Perry: Part of Me","7/5/2012","Par.","PG",95,12,"Documentary","Music"," ",5.9,"USA",7138266,2730,0.034411446,0.619891008,-3.33434856,0.489085637
228,"Kevin Hart: Let Me Explain","7/3/2013","LG/S","R",75,NA,"Documentary","Comedy"," ",6.7,"Netherlands",NA,NA,NA,NA,NA,NA
228,"Kevin Hart: Let Me Explain","7/3/2013","LG/S","R",75,NA,"Documentary","Comedy"," ",6.7,"USA",10030463,876,0.057598478,0.205972255,-2.794935289,-1.349376929
229,"Kick-Ass","4/16/2010","LGF","R",117,30,"Action","Comedy"," ",7.7,"Netherlands",280822,99,0.092280918,0.4125,-2.286097566,-0.35364004
229,"Kick-Ass","4/16/2010","LGF","R",117,30,"Action","Comedy"," ",7.7,"USA",19828687,3065,0.154763528,0.685989257,-1.697718112,0.781434768
